"p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","4.64089721154804e-64","5.24775206078441","0.974","0.203","2.85818936567609e-59"
"2","6.85226409631929e-59","5.12522300381243","0.862","0.109","4.22010388900016e-54"
"3","9.0093817016388e-57","3.8810851739762","0.793","0.066","5.54860790858829e-52"
"4","1.93569737588427e-55","5.14004606312047","1","0.583","1.19213794288584e-50"
"5","1.59009386355667e-54","4.26970807463895","1","0.571","9.79291107748645e-50"
"6","2.52954818779897e-54","4.28904368535627","0.845","0.117","1.55787284241975e-49"
"7","5.32408142204108e-54","4.29173423735978","1","0.743","3.27894202539244e-49"
"8","2.4503557093107e-51","3.24450233007913","1","0.926","1.50910057069318e-46"
"9","1.99621530809048e-49","4.91728704618615","0.905","0.24","1.22940912179368e-44"
"10","1.69420007666928e-48","4.08466383367825","0.957","0.366","1.04340700121831e-43"
"11","5.61192032312515e-47","-6.7709553526703","0.155","0.931","3.45621336940309e-42"
"12","6.98003266443965e-47","3.64273727852812","0.983","0.589","4.29879271704845e-42"
"13","2.95571768454827e-45","2.35574113780665","1","0.96","1.82033785038274e-40"
"14","1.18119503747047e-43","-7.62981765359405","0.112","0.886","7.27462587726937e-39"
"15","9.77649438044429e-43","2.06909051302568","1","0.891","6.02104959408422e-38"
"16","1.14532401551626e-42","-6.78804977451914","0.06","0.86","7.05370701435997e-38"
"17","1.62786087835627e-42","3.51859058510231","0.81","0.171","1.00255067915328e-37"
"18","1.11398011907038e-40","-3.65993894370547","0.086","0.871","6.86066935931877e-36"
"19","1.73668571883036e-39","3.85992129972563","0.845","0.211","1.06957263365606e-34"
"20","1.1437920404707e-38","3.34001286762949","0.922","0.429","7.04427203964687e-34"
"21","1.31488850440831e-38","2.7475554218743","0.957","0.514","8.09800383209943e-34"
"22","1.44758515518941e-37","3.14680524485892","0.905","0.423","8.91524269526499e-33"
"23","2.14012842367846e-37","5.23531904904322","0.647","0.091","1.31804089229085e-32"
"24","2.88373471872253e-37","2.50933656522204","0.922","0.343","1.77600570121965e-32"
"25","4.57893419893431e-37","3.55482810351937","0.793","0.254","2.82002820509767e-32"
"26","6.69462882020312e-37","2.71942165540917","0.983","0.669","4.1230210514985e-32"
"27","9.28248915294432e-37","2.14314470608481","0.983","0.631","5.71680659462382e-32"
"28","2.28350678058394e-36","-8.6123114699329","0.034","0.766","1.40634332095823e-31"
"29","4.19298987648162e-36","-3.87692352341834","0.155","0.863","2.58233667522873e-31"
"30","2.33667056903927e-35","-5.52212917803202","0.121","0.826","1.43908530335422e-30"
"31","3.81551553857492e-35","3.3427181026818","0.802","0.234","2.34986155474213e-30"
"32","5.38207999307164e-35","-4.6171055690816","0.112","0.817","3.31466160533303e-30"
"33","1.35867402890378e-33","-3.07852224030194","0.5","0.94","8.36766574180969e-29"
"34","2.19186451505646e-33","3.16720905514343","0.914","0.457","1.34990359888782e-28"
"35","8.66160249316215e-32","-6.17724584477586","0.017","0.706","5.33442112746377e-27"
"36","1.28354901918291e-31","1.7200753445014","1","0.826","7.90499334444181e-27"
"37","2.66203197718852e-31","-6.15118049161872","0.043","0.714","1.63946563379109e-26"
"38","4.44624631210164e-31","4.34195965984778","0.543","0.071","2.73830971623404e-26"
"39","5.67603066859535e-31","-3.7550435887081","0.129","0.814","3.49569700786782e-26"
"40","1.00261866171699e-30","3.55654647549843","0.75","0.217","6.17482755191643e-26"
"41","1.39786636061206e-30","2.39732081489679","0.966","0.726","8.6090395551015e-26"
"42","3.06780008275407e-30","-4.26327116390733","0.069","0.723","1.88936603696575e-25"
"43","5.73492194033235e-30","-4.25560516920148","0.491","0.951","3.53196637539248e-25"
"44","5.8137899207718e-30","1.4556683296625","1","0.977","3.58053879850573e-25"
"45","1.06786262823753e-29","-2.72035631158661","0.31","0.863","6.57664556852645e-25"
"46","1.77123962403608e-29","3.75379023600242","0.698","0.18","1.0908533472551e-24"
"47","1.81106167731038e-29","4.21108140435262","0.534","0.077","1.11537855520514e-24"
"48","2.29079717261792e-29","1.92742203376225","0.983","0.709","1.4108332547002e-24"
"49","3.02750423345703e-29","-5.99591662512439","0.009","0.651","1.86454903225918e-24"
"50","3.98180915565531e-29","3.10068776620845","0.897","0.574","2.45227680469344e-24"
"51","6.96942593181967e-29","-2.6471253333326","0.302","0.874","4.29226034862978e-24"
"52","7.54223990236572e-29","-3.1426463534546","0.207","0.846","4.64503928866997e-24"
"53","9.68446134575433e-29","2.18414234613472","0.974","0.783","5.96436920900972e-24"
"54","1.0600750688132e-28","1.51345294746776","1","0.9","6.52868432629985e-24"
"55","1.5801792624743e-28","1.30125168933058","0.638","0.18","9.7318500238005e-24"
"56","1.6673275976311e-28","-8.79483847823677","0.026","0.657","1.02685704755307e-23"
"57","1.99543896326692e-28","3.02573750997334","0.905","0.563","1.2289309943072e-23"
