"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","genes"
"1","5.28063119619192e-67","7.53301453606736","1","0.132","3.25218233479872e-62","ETNPPL"
"2","1.47198776539898e-64","5.49767601088808","0.986","0.12","9.0655310507627e-60","FGFR3"
"3","5.16289351187493e-62","6.62599003020042","0.836","0.056","3.17967122715841e-57","SLC39A12"
"4","5.42702992179777e-62","5.80199107754684","0.945","0.107","3.34234491793759e-57","SLC25A18"
"5","4.20967517451146e-61","4.71454835182041","0.918","0.089","2.59261264972637e-56","AC008957.2"
"6","1.4138462058037e-58","5.49612655483282","0.986","0.155","8.70745462768324e-54","SLCO1C1"
"7","1.65997639274514e-58","6.22568400266921","0.877","0.092","1.02232966099995e-53","GJB6"
"8","2.11891231939957e-58","5.8457560524852","0.918","0.117","1.30497453014861e-53","MGST1"
"9","7.07811004645206e-58","5.71045206291007","0.904","0.104","4.35919563430843e-53","SDC4"
"10","1.38422357145643e-57","5.61438047411785","0.904","0.102","8.52501770952873e-53","APOE"
"11","1.43150855110901e-57","6.39065599038594","1","0.211","8.81623171371507e-53","GJA1"
"12","1.26927911835419e-56","5.2202545349151","0.89","0.087","7.81710930620798e-52","MLC1"
"13","3.11596469665405e-56","4.4790825939949","0.973","0.155","1.91902917772833e-51","RANBP3L"
"14","1.02994364328343e-55","6.9553244211312","0.986","0.219","6.34311391588964e-51","AQP4"
"15","5.01160692337644e-55","4.76724537095354","0.863","0.084","3.08649835589985e-50","PAMR1"
"16","1.74364451423779e-54","4.83059633680471","0.863","0.092","1.07385834698363e-49","COL5A3"
"17","1.98686377457023e-54","5.80356255085446","0.822","0.074","1.22364979284456e-49","ACSBG1"
"18","2.78223611584396e-54","6.23738793062149","0.877","0.107","1.71349575666482e-49","MRVI1"
"19","6.11587453158497e-54","5.83090616756253","0.849","0.089","3.76658364776724e-49","NULL"
"20","1.08599237296463e-53","5.94325802524058","0.986","0.209","6.68830122737724e-49","AGT"
"21","2.06040269872857e-53","6.00526352475898","0.877","0.099","1.26894021006596e-48","ALDH1L1"
"22","5.39815831654875e-53","4.85696149540496","0.959","0.17","3.32456376241288e-48","TPD52L1"
"23","6.19473217585708e-53","4.92672539689902","0.959","0.173","3.8151497051451e-48","EDNRB"
"24","1.18260148359327e-51","5.05807911577704","0.945","0.168","7.28328775700587e-47","CLDN10"
"25","2.04355921001751e-51","6.52356757030441","0.89","0.137","1.25856681067348e-46","LINC00499"
"26","3.92304483080779e-50","4.52697540178588","1","0.242","2.41608561994959e-45","SLC4A4"
"27","5.27072497115023e-50","4.64651995303041","1","0.282","3.24608138798229e-45","ATP13A4"
"28","5.38202998663965e-50","4.12744028124336","0.836","0.089","3.31463080787176e-45","S1PR1"
"29","8.70960048831238e-50","3.83430061502561","0.89","0.112","5.36398165273694e-45","PBXIP1"
"30","8.92209298569874e-50","5.17180978383926","0.795","0.076","5.49484940710228e-45","SLC13A5"
"31","3.09065649156091e-49","4.08742366839366","0.918","0.155","1.90344261345762e-44","MT1E"
"32","1.40570786497628e-48","5.06017375393418","0.808","0.092","8.65733302802943e-44","SLC14A1"
"33","4.13074414486665e-48","4.27806597319616","0.904","0.142","2.54400139649902e-43","MERTK"
"34","8.37381590856549e-48","4.16237579319755","0.959","0.209","5.15718200360823e-43","DIO2"
"35","4.26195741134121e-47","5.22722294042057","0.973","0.293","2.62481171092271e-42","GPR37L1"
"36","6.66655693840246e-47","4.77603026731294","0.89","0.158","4.10573242165392e-42","PAPLN"
"37","8.77358758513606e-47","4.17516662949969","0.918","0.168","5.40338938605775e-42","SLC7A11"
"38","1.1142650669976e-46","4.69690311861075","1","0.389","6.86242426811813e-42","ATP1A2"
"39","1.43539680456616e-46","5.53259536547931","1","0.407","8.84017830028164e-42","ADGRV1"
"40","1.8122565356087e-46","4.29436566502003","0.986","0.293","1.11611443258533e-41","F3"
"41","2.82941884752837e-46","4.49838051507273","0.986","0.282","1.7425541856273e-41","SFXN5"
"42","3.12212731085549e-46","5.50811745231323","0.767","0.087","1.92282454693657e-41","EFEMP1"
"43","3.3843563153782e-46","4.50172652675102","0.973","0.257","2.08432352395197e-41","PLPP3"
"44","6.60580581793094e-46","5.03272242374096","0.616","0.031","4.06831762908913e-41","AC008957.1"
"45","8.10066155690147e-46","4.23483729430242","0.781","0.084","4.98895443304891e-41","SLC25A48"
"46","1.62396266097578e-45","4.07496673733095","0.932","0.181","1.00014988401516e-40","SLC15A2"
"47","1.61990482413977e-44","3.76338367143647","0.822","0.099","9.97650784042961e-40","FGF2"
"48","2.92468429200923e-44","3.88533036053885","0.712","0.064","1.80122531491973e-39","GPC5-AS1"
"49","6.14628970013789e-44","3.80435490068309","0.781","0.092","3.78531543762392e-39","TRIL"
"50","7.00928126189827e-44","4.78583375982851","0.849","0.145","4.31680605076529e-39","ACBD7"
"51","1.11073629087611e-43","5.18506533374396","0.877","0.173","6.84069159461873e-39","ZNRF3"
"52","1.60838639597607e-43","5.02936320770407","0.959","0.3","9.90556929689783e-39","BMPR1B"
"53","1.64694234285515e-43","4.88203346651027","0.877","0.158","1.0143023806942e-38","ACOT11"
"54","2.33192754234655e-43","4.89855347056418","0.644","0.046","1.43616421550497e-38","NULL"
"55","2.37592605982565e-43","7.01101898858163","0.836","0.148","1.46326158246482e-38","GFAP"
"56","2.50202117805246e-43","6.01556776114268","0.699","0.064","1.54091978292717e-38","SELENBP1"
"57","5.27954629457498e-43","4.84642015475861","0.849","0.153","3.25151417643989e-38","IL33"
"58","1.29600313908396e-42","4.56911905970416","0.671","0.059","7.98169453267638e-38","MT1G"
"59","1.39318826644886e-42","4.20535211720798","0.89","0.15","8.58022857657859e-38","GRAMD1C"
"60","1.4628384214147e-42","4.0253696915849","0.671","0.056","9.00918298596669e-38","BBOX1"
"61","2.79160044066039e-42","5.78920966422528","1","0.751","1.71926296338951e-37","SLC1A2"
"62","3.10044185055454e-42","4.3612933480135","1","0.565","1.90946912250103e-37","SLC1A3"
"63","6.0115668797588e-42","4.26149001157436","0.822","0.13","3.70234369423705e-37","PDGFRB"
"64","9.98321985049218e-42","4.19822152214612","0.932","0.239","6.14836560932262e-37","STON2"
"65","1.38515107925704e-41","4.28909757550501","0.863","0.16","8.53072995182036e-37","CABLES1"
"66","2.0817906219101e-41","4.39760558502538","0.644","0.051","1.28211239031577e-36","AL133330.2"
"67","4.63948583137731e-41","4.4138623880226","0.945","0.254","2.85732013897034e-36","PSD2"
"68","5.54598326074793e-41","5.51606261649831","0.589","0.036","3.41560471079683e-36","AL159152.1"
"69","6.19475733373619e-41","3.90551373299161","0.808","0.122","3.81516519912811e-36","RHOJ"
"70","7.17920220441872e-41","4.35257968779766","0.767","0.109","4.42145526163536e-36","EMX2OS"
"71","9.81258044560304e-41","4.34494726531624","0.822","0.14","6.04327391903354e-36","HEPACAM"
"72","1.1200912315131e-40","3.7486508407546","0.918","0.237","6.89830586751973e-36","MT1X"
