"Gene","lb","log.FC.mle","ub","ce","Z","cZ","pvalue","p.adjust"
"STMN2",5.55308321221441,9.32917979652021,9.62534423450498,5.55308321221441,7.13989829568023,6.45677299793018,9.33999999999133e-13,1.0695914880703e-10
"DCX",5.5160626574663,9.18109757752783,9.55130312500877,5.5160626574663,7.13989829568023,6.45677299793018,9.33999999999133e-13,1.0695914880703e-10
"SOX11",8.18154259932921,8.81089203004685,9.32917979652021,8.18154259932921,7.13989829568023,6.45677299793018,9.33999999999133e-13,1.0695914880703e-10
"BCL11A",7.99643982558872,8.73685092055067,9.14407702277972,7.99643982558872,7.13989829568023,6.45677299793018,9.33999999999133e-13,1.0695914880703e-10
"DLX6-AS1",3.25780881783245,8.58876870155829,8.92195369429113,3.25780881783245,7.13989829568023,6.45677299793018,9.33999999999133e-13,1.0695914880703e-10
"MCTP1",4.10928157703864,8.4036659278178,8.73685092055067,4.10928157703864,7.13989829568023,6.45677299793018,9.33999999999133e-13,1.0695914880703e-10
"SLC38A1",3.7760965843058,8.3666453730697,8.69983036580257,3.7760965843058,7.13989829568023,6.45677299793018,9.33999999999133e-13,1.0695914880703e-10
"GNAI1",3.33184992732865,8.07048093508493,8.3296248183216,3.33184992732865,7.13989829568023,6.45677299793018,9.33999999999145e-13,1.0695914880703e-10
"GABRA1",3.40589103682483,7.99643982558872,8.3296248183216,3.40589103682483,7.13989827449062,6.45677299793018,9.34000143978057e-13,1.0695914880703e-10
"ADD2",5.59010376696251,7.88537816134444,8.29260426357349,5.59010376696251,7.13989829568023,6.45677299793018,9.33999999999133e-13,1.0695914880703e-10
"GNG2",2.51739772287053,7.84835760659634,8.10750148983304,2.51739772287053,7.13989738033232,6.45677299793018,9.34006219614989e-13,1.0695914880703e-10
"CACNA1E",4.33140490552723,7.81133705184827,8.10750148983304,4.33140490552723,7.13989829568023,6.45677299793018,9.33999999999133e-13,1.0695914880703e-10
"GRIA3",2.85058271560339,7.77431649710016,8.07048093508493,2.85058271560339,7.13989829567297,6.45677299793018,9.34000000048451e-13,1.0695914880703e-10
"LINC01122",2.92462382509958,7.73729594235206,8.07048093508493,2.92462382509958,7.13989829105312,6.45677299793018,9.34000031439357e-13,1.0695914880703e-10
"AGPAT4",4.627569343512,7.70027538760399,8.03346038033683,4.627569343512,7.13989829568023,6.45677299793018,9.33999999999133e-13,1.0695914880703e-10
"REEP1",2.73952105135911,7.55219316861157,7.77431649710016,2.73952105135911,7.13989715682995,6.45677299793018,9.34007738277428e-13,1.0695914880703e-10
"SYT4",4.51650767926772,7.4781520591154,7.81133705184827,4.51650767926772,7.13989828984784,6.45677299793018,9.34000039628976e-13,1.0695914880703e-10
"SEZ6L",2.99866493459578,7.4781520591154,7.77431649710016,2.99866493459578,7.13989745306897,6.45677299793018,9.34005725381692e-13,1.0695914880703e-10
"PLCL2",3.07270604409197,7.44113150436729,7.70027538760399,3.07270604409197,7.13989708893198,6.45677299793018,9.34008199633627e-13,1.0695914880703e-10
"BCAT1",2.40633605862624,7.44113150436729,7.77431649710016,2.40633605862624,7.12290331085069,6.44993599361003,1.05676958063983e-12,1.11897399684596e-10
