"Gene","lb","log.FC.mle","ub","ce","Z","cZ","pvalue","p.adjust"
"PLP1",3.96854673150521,10.7929635408226,11.2380342022998,3.96854673150521,7.13989829568023,5.93915276132783,9.33999999999133e-13,2.86498812040154e-09
"SLC1A3",3.59765451360754,4.85868805445967,6.86150603110713,3.59765451360754,7.13989829568001,5.93915276132783,9.34000000000654e-13,2.86498812040154e-09
"GPC5",2.37371019454518,3.15258385213031,4.15399284045404,2.37371019454518,7.13989829567302,5.93915276132783,9.34000000048137e-13,2.86498812040154e-09
"NEAT1",3.523476070028,4.82159883266988,8.67887789880579,3.523476070028,7.13989829566477,5.93915276132783,9.34000000104226e-13,2.86498812040154e-09
"SLC1A2",1.92863953306795,2.63333474707355,3.33802996107916,1.92863953306795,7.13989728323503,5.93915276132783,9.34006879375018e-13,2.86498812040154e-09
"RORA",2.03990719843726,2.78169163423263,3.70892217897683,2.03990719843726,7.13983401027918,5.93915276132783,9.34436905965431e-13,2.86498812040154e-09
"PON2",2.67042396886332,3.63474373539729,7.046952140056,2.67042396886332,7.13959551071847,5.93915276132783,9.36059585214427e-13,2.86498812040154e-09
"CLU",2.29953175096563,3.56056529181775,4.82159883266988,2.29953175096563,7.13956290271137,5.93915276132783,9.36281655074165e-13,2.86498812040154e-09
"ATP1A2",3.56056529181775,7.97418268480021,8.49343178985696,3.56056529181775,7.13863264197999,5.93915276132783,9.4263882111896e-13,2.86498812040154e-09
"IL8",5.26666949414712,5.89718626457317,6.41643536962992,5.26666949414712,7.12324840061187,5.93915276132783,1.05412589381262e-12,2.86498812040154e-09
"PREX2",2.1140856420168,3.15258385213031,7.00986291826621,2.1140856420168,7.10506636128547,5.93915276132783,1.2026473838235e-12,2.86498812040154e-09
"ZBTB20",1.59483653696004,2.29953175096563,3.30094073928938,1.59483653696004,7.10128613240551,5.93915276132783,1.23601171401378e-12,2.86498812040154e-09
"DDX3Y",5.71174015562433,6.34225692605038,6.78732758752762,5.71174015562433,7.100121888574,5.93915276132783,1.24646906983092e-12,2.86498812040154e-09
"ETNPPL",6.15681081710154,6.82441680931738,7.45493357974342,6.15681081710154,7.09970078813758,5.93915276132783,1.25027277529846e-12,2.86498812040154e-09
"PMP22",6.564792256789,7.19530902721505,7.56620124511275,6.564792256789,7.0948112840949,5.93915276132783,1.2952811329209e-12,2.86498812040154e-09
"CDH20",2.44788863812471,3.67183295718708,6.30516770426062,2.44788863812471,7.08901762665636,5.93915276132783,1.35067324263208e-12,2.86498812040154e-09
