"Gene" "lb" "log.FC.mle" "ub" "ce" "Z" "cZ" "pvalue" "p.adjust"
"RBFOX1" 2.70609065966385 3.78111297651662 6.19064575566936 2.70609065966385 7.13670252808269 5.80441486280008 9.5596415803415e-13 6.45911697461094e-09
"LSAMP" 2.63195118953608 3.70697350638882 4.93027476349714 2.63195118953608 7.06662951437823 5.76484108093853 1.58742016476679e-12 8.17348211746006e-09
"LRRC7" 2.22418410383331 3.22506695055829 5.78287866996658 2.22418410383331 6.70490628573173 5.35030846690975 2.01535664552989e-11 8.78044382227092e-08
"ROBO2" 2.29832357396108 3.81818271158051 7.52515621796933 2.29832357396108 6.45595574069969 5.11093679507011 1.07538036837631e-10 3.205652279163e-07
"NRXN1" 2.18711436876941 4.26301953234715 6.15357602060546 2.18711436876941 6.37825368913551 5.0418167493078 1.79118632600485e-10 4.61132777873919e-07
"NRG3" 2.11297489864164 3.59576430119716 5.74580893490269 2.11297489864164 6.21638312496918 4.86362154201253 5.08744992959587e-10 1.15257195644981e-06
"PTPRZ1" 8.63724826988599 9.41571270622764 9.71227058673876 8.63724826988599 6.1012438804776 4.73227950877381 1.0524617874875e-09 2.22012410347603e-06
"KCNIP4" 2.11297489864164 3.1879972154944 4.96734449856104 2.11297489864164 6.1003508107391 4.73227950877381 1.05835924280258e-09 2.22012410347603e-06
"PTPRD" 1.74227754800275 2.78023012979163 4.04060112196383 1.74227754800275 5.84372475212121 4.43223030118117 5.10463471852225e-09 9.32633229637624e-06
"BCL11A" 7.78464436341655 8.52603906469433 8.89673641533321 7.78464436341655 5.77476147681055 4.34958528918892 7.70621722476586e-09 1.36395228492591e-05
"FAM155A" 1.5939986077472 2.66902092459996 5.15269317388049 1.5939986077472 5.71611845832577 4.29289014008711 1.08984777975889e-08 1.76362281571382e-05
"DPP10" 2.07590516357775 3.5216248310694 7.59929568809713 2.07590516357775 5.70488309728182 4.28448172571008 1.16422964145451e-08 1.83165662313058e-05
"NELL2" 3.00264854017496 9.11915482571653 9.48985217635544 3.00264854017496 5.64718362246267 4.22702285088028 1.63097602885264e-08 2.36803627407497e-05
"CTNNA2" 1.74227754800275 2.89143933498329 5.18976290894439 1.74227754800275 5.6428684753971 4.22702285088028 1.67240105517494e-08 2.36803627407497e-05
"ATRNL1" 2.22418410383331 8.97087588546097 9.26743376597209 2.22418410383331 5.54356827938262 4.11841073116091 2.96369028776524e-08 3.81494296632836e-05
"DCX" 7.89585356860821 9.11915482571653 9.48985217635544 7.89585356860821 5.32468469293463 3.85749697378347 1.01128303545897e-07 0.00011455409712465
"NKAIN3" 2.00176569344997 3.07678801030274 9.30450350103598 2.00176569344997 5.30171538903818 3.83142785997678 1.14719592736585e-07 0.000127401731243425
"BAI3" 1.48278940255554 2.63195118953608 4.00353138689993 1.48278940255554 5.25081002135172 3.76742760080708 1.51431800595867e-07 0.000164938352349014
"RORB" 6.63548257643603 7.26566807252212 7.59929568809713 6.63548257643603 5.24513276984467 3.76448968439592 1.56169824687302e-07 0.000166889557181877
"GPHN" 1.48278940255554 2.44660251421663 4.07767085702773 1.48278940255554 5.09226393517737 3.57855089558535 3.53813099184255e-07 0.000345504591579274
"GRIA2" 1.66813807787498 2.89143933498329 5.22683264400825 1.66813807787498 5.06705462344647 3.55264423229995 4.04018374697807e-07 0.000381379878435574
"MEIS2" 7.89585356860821 8.78552721014155 9.11915482571653 7.89585356860821 5.05220350631115 3.54076361103793 4.3674199707704e-07 0.000398970858555633
"DLGAP1" 1.55692887268331 2.74316039472774 4.5225076777944 1.55692887268331 5.00753304431738 3.49954358279267 5.51320887633689e-07 0.000466055409459655
"RALYL" 1.85348675319442 3.22506695055829 6.56134310630823 1.85348675319442 4.99803758967028 3.49034631409081 5.79166968500237e-07 0.00048239498179289
"KCNMA1" 1.96469595838609 8.89673641533321 9.23036403090822 1.96469595838609 4.99496517068658 3.48999199198626 5.88463866574761e-07 0.000483035021377701
"R3HDM1" 2.70609065966385 8.37776012443878 8.71138774001376 2.70609065966385 4.95684336722379 3.44476940877808 7.16476907658446e-07 0.000571546747830409
"ARHGEF26" 6.15357602060546 6.70962204656379 7.0803193972027 6.15357602060546 4.92182805031487 3.40352579580974 8.57395319565894e-07 0.000665221316569494
"OLFM3" 6.52427337124437 7.52515621796933 8.0070627737999 6.52427337124437 4.8605923038176 3.32511599792859 1.17035058626388e-06 0.000883817553397517
"ERBB4" 1.48278940255554 2.78023012979163 3.96646165183607 1.48278940255554 4.84075580151605 3.304512543635 1.2934623940698e-06 0.000951417182796429
"DHX57" 5.93115761022214 6.52427337124437 6.85790098681935 5.93115761022214 4.78876457733241 3.24526978699273 1.67811208649243e-06 0.00117339397968837
"SSX2IP" 6.22771549073325 6.85790098681935 7.19152860239436 6.22771549073325 4.76241973938172 3.21481126335506 1.9128528650527e-06 0.00130530313940789
"MIR137HG" 6.15357602060546 6.85790098681935 7.26566807252212 6.15357602060546 4.66686508475724 3.10162404743962 3.05829998027946e-06 0.00192462215870076
"CHL1" 2.18711436876941 8.56310879975823 8.89673641533321 2.18711436876941 4.64355939101522 3.07776359806017 3.42457489010851e-06 0.002085602931462
"ZNF155" 6.15357602060546 6.78376151669158 7.11738913226656 6.15357602060546 4.64029008088903 3.07623412143441 3.47920442786638e-06 0.00209633170622869
"SLC18B1" 5.93115761022214 6.56134310630823 6.89497072188324 5.93115761022214 4.63344011158907 3.07270939326489 3.59638832782458e-06 0.00212124952913098
"RP11-770G2.2" 5.67166946477492 6.26478522579715 6.59841284137213 5.67166946477492 4.63247745663937 3.07270939326489 3.61315689628004e-06 0.00212124952913098
"CTNND2" 1.33451046229998 2.40953277915274 4.30008926741105 1.33451046229998 4.61876901146279 3.05762600288544 3.86023285910103e-06 0.0022309782517731
"ALDH9A1" 5.63459972971103 6.22771549073325 6.56134310630823 5.63459972971103 4.61313881848813 3.05253898010224 3.96633205550742e-06 0.00226914257535182
"NEUROD6" 5.56046025958327 6.22771549073325 6.63548257643603 5.56046025958327 4.60256237918468 3.04333806093082 4.17324512535569e-06 0.00233969329961991
"CTC-498M16.4" 6.0794365504777 6.70962204656379 7.0803193972027 6.0794365504777 4.60012501208 3.04333806093082 4.22237467586779e-06 0.00233969329961991
"SLC1A2" 2.03883542851386 10.4907350230804 10.8243626386554 2.03883542851386 4.59852683685965 3.04333806093082 4.25488911792173e-06 0.00233969329961991
"GPR98" 1.5939986077472 2.66902092459996 8.89673641533321 1.5939986077472 4.58751308252812 3.03033503224645 4.48557327349884e-06 0.00244282595254257
"ATP13A4" 6.30185496086102 6.93204045694714 7.33980754264991 6.30185496086102 4.5778320205683 3.02288492949579 4.69819721111012e-06 0.00250377429342583
"UBP1" 5.56046025958327 6.15357602060546 6.48720363618047 5.56046025958327 4.57641543429667 3.02288492949579 4.73010786744877e-06 0.00250377429342583
"AC011043.1" 6.00529708034994 6.74669178162769 7.0803193972027 6.00529708034994 4.5667068463181 3.01165841109323 4.95446128773179e-06 0.0025982479482829
"ZNF714" 5.85701814009438 6.48720363618047 6.82083125175545 5.85701814009438 4.52883757275812 2.97106828840641 5.93090679756281e-06 0.00296765784589702
"ZNF770" 5.44925105439161 6.0794365504777 6.45013390111657 5.44925105439161 4.5268280735513 2.97106828840641 5.98756138651068e-06 0.00296765784589702
"RINT1" 5.48632078945547 6.0794365504777 6.41306416605268 5.48632078945547 4.52585641436502 2.97106828840641 6.0151411624913e-06 0.00296765784589702
"IDH1" 7.0432496621388 7.67343515822489 7.96999303873601 7.0432496621388 4.52548737007168 2.97106828840641 6.02564801508098e-06 0.00296765784589702
"LINC00499" 5.93115761022214 6.59841284137213 7.0432496621388 5.93115761022214 4.51342530450794 2.96146829468957 6.37889222183855e-06 0.00306176014966519
"KIF21B" 5.41218131932771 6.0423668154138 6.41306416605268 5.41218131932771 4.50987337950868 2.9589082246442 6.48663311389249e-06 0.00308731030508104
"TMEM170B" 5.44925105439161 6.0423668154138 6.37599443098881 5.44925105439161 4.50795226964476 2.95869689662249 6.5456295962592e-06 0.00308942807560774
"HIBADH" 5.67166946477492 6.30185496086102 6.67255231149993 5.67166946477492 4.44347939821946 2.87222758789323 8.85156356690495e-06 0.0040758931487997
"NDST3" 5.81994840503048 6.45013390111657 6.85790098681935 5.81994840503048 4.43770998063275 2.86731799810192 9.09210099561679e-06 0.00413966830060391
"GGH" 5.26390237907215 5.93115761022214 6.26478522579715 5.26390237907215 4.43666707011569 2.86731799810192 9.13624311549646e-06 0.00413966830060391
"KLHL1" 5.78287866996658 6.41306416605268 6.96911019201101 5.78287866996658 4.43420944848463 2.86622897594263 9.24107539072819e-06 0.00415393673000051
"RPS6KA6" 5.22683264400825 5.85701814009438 6.22771549073325 5.22683264400825 4.41549196534439 2.84119416056041 1.00780523358754e-05 0.00449449392282921
"RAB9B" 5.18976290894439 5.85701814009438 6.19064575566936 5.18976290894439 4.39904602500041 2.82439355788064 1.08727768132859e-05 0.0047370179473145
"GPM6A" 1.63106834281109 3.11385774536662 5.59752999464716 1.63106834281109 4.3804242325196 2.80176824892138 1.18448474236904e-05 0.00508233688168922
"GDPD1" 5.63459972971103 6.33892469592491 6.67255231149993 5.63459972971103 4.3713131071316 2.79313068763564 1.23501537870931e-05 0.00522005977756251
"CDH18" 2.59488145447219 8.04413250886377 8.45189959456654 2.59488145447219 4.3679977189278 2.79191207722539 1.25390802775162e-05 0.00523975916839186
"ST6GAL2" 6.1165062855416 6.96911019201101 7.30273780758602 6.1165062855416 4.35050535938494 2.77327129728052 1.35824135270757e-05 0.00554958334021998
"CLHC1" 5.11562343881659 5.74580893490269 6.0794365504777 5.11562343881659 4.34990436942311 2.77327129728052 1.36196914490373e-05 0.00554958334021998
"IGFL4" 5.0785537037527 5.70873919983882 6.0423668154138 5.0785537037527 4.34190565414276 2.77043470630417 1.41252190513097e-05 0.00559815229838194
"CTC-535M15.2" 4.96734449856104 5.70873919983882 6.33892469592491 4.96734449856104 4.34176522408413 2.77043470630417 1.41342522452879e-05 0.00559815229838194
"XIST" 6.48720363618047 7.19152860239436 7.48808648290544 6.48720363618047 4.32819491164474 2.7525659858235 1.50336398776035e-05 0.00591302288463685
"RGS7" 1.14916178698054 2.40953277915274 5.70873919983882 1.14916178698054 4.31550331994899 2.73821284831586 1.59239658559548e-05 0.00617740806951758
"KIAA0753" 5.00441423362494 5.63459972971103 5.96822734528604 5.00441423362494 4.30163528406622 2.72203143097749 1.69542210855439e-05 0.00648819712056104
"METTL6" 5.74580893490269 6.52427337124437 6.89497072188324 5.74580893490269 4.29881716577294 2.72005367001924 1.71712046457234e-05 0.00652713213909048
"AUTS2" 1.2603709921722 2.37246304408886 3.74404324145272 1.2603709921722 4.29685028490162 2.71933200783269 1.73242116393281e-05 0.00654139132552174
"MED12L" 6.15357602060546 6.89497072188324 7.30273780758602 6.15357602060546 4.28082526080328 2.70114905689469 1.86201523135623e-05 0.00691003622850118
"KAL1" 4.93027476349714 5.59752999464716 5.93115761022214 4.93027476349714 4.27940930109451 2.70114905689469 1.87389980385613e-05 0.00691003622850118
"EML5" 6.0423668154138 6.93204045694714 7.33980754264991 6.0423668154138 4.27738042206176 2.70114905689469 1.89105479610453e-05 0.00691003622850118
"SLC44A5" 1.29744072723609 8.93380615039711 9.15622456078043 1.29744072723609 4.26665907904616 2.69151632966947 1.98422023112655e-05 0.00711280161079403
"LHX2" 4.89320502843328 5.52339052451937 5.89408787515824 4.89320502843328 4.26121072260618 2.68959209169928 2.0332240845414e-05 0.0071539405022538
"SOX11" 4.30008926741105 8.74845747507765 9.11915482571653 4.30008926741105 4.25580987390461 2.68959209169928 2.08293656739749e-05 0.0071539405022538
"RP1-111C20.4" 4.89320502843328 5.52339052451937 5.89408787515824 4.89320502843328 4.25489473700333 2.68959209169928 2.09147383907894e-05 0.0071539405022538
"MSR1" 5.22683264400825 6.00529708034994 6.48720363618047 5.22683264400825 4.25485097689841 2.68959209169928 2.09188290861449e-05 0.0071539405022538
"ARHGAP20" 6.1165062855416 6.82083125175545 7.19152860239436 6.1165062855416 4.25369015329679 2.68959209169928 2.1027621423085e-05 0.0071539405022538
"POLR3G" 4.89320502843328 5.48632078945547 5.89408787515824 4.89320502843328 4.24892372025485 2.68959209169928 2.14800040164737e-05 0.0071539405022538
"ACSBG1" 4.85613529336938 5.48632078945547 5.89408787515824 4.85613529336938 4.24843278869977 2.68959209169928 2.15271210867497e-05 0.0071539405022538
"RP1-240B8.3" 5.56046025958327 6.30185496086102 6.70962204656379 5.56046025958327 4.24605362222118 2.68959209169928 2.17568582778246e-05 0.0071539405022538
"IVD" 5.48632078945547 6.1165062855416 6.41306416605268 5.48632078945547 4.24596895376049 2.68959209169928 2.17650768884394e-05 0.0071539405022538
"RP11-286N22.8" 4.85613529336938 5.52339052451937 5.85701814009438 4.85613529336938 4.24507928874427 2.68959209169928 2.18516138791961e-05 0.0071539405022538
"IFT20" 5.37511158426381 6.00529708034994 6.33892469592491 5.37511158426381 4.24046079712062 2.68464092956743 2.23061392166816e-05 0.00726077651123228
"PTCHD1" 4.85613529336938 5.48632078945547 5.85701814009438 4.85613529336938 4.23818953209023 2.68317448607755 2.25329510818546e-05 0.00729269304785191
"NRCAM" 2.00176569344997 9.5639916464832 9.89761926205821 2.00176569344997 4.2275473244606 2.67419307147894 2.36252495232801e-05 0.00749093111865591
"IGSF21" 5.41218131932771 6.1165062855416 6.52427337124437 5.41218131932771 4.2263072958036 2.67419307147894 2.37557526953142e-05 0.00749093111865591
"SYT13" 4.81906555830548 5.44925105439161 5.85701814009438 4.81906555830548 4.22192726475201 2.67024685695417 2.42222280012089e-05 0.00757954999741697
"RP11-966I7.1" 5.18976290894439 5.85701814009438 6.22771549073325 5.18976290894439 4.2178282499506 2.6659894630669 2.46666584094414e-05 0.00767620988458209
"ST8SIA2" 4.78199582324162 5.44925105439161 5.85701814009438 4.78199582324162 4.21218982501569 2.66185995122094 2.52906866230385e-05 0.0077710203727978
"GUCA1B" 4.78199582324162 5.41218131932771 5.81994840503048 4.78199582324162 4.2115525594484 2.66185995122094 2.53621525801094e-05 0.0077710203727978
"MRPL35" 4.78199582324162 5.41218131932771 5.78287866996658 4.78199582324162 4.21059109677924 2.66185995122094 2.54703391611461e-05 0.0077710203727978
"AC093642.5" 4.78199582324162 5.41218131932771 5.78287866996658 4.78199582324162 4.21014980208781 2.66185995122094 2.55201417659591e-05 0.0077710203727978
"WDR6" 4.78199582324162 5.41218131932771 5.81994840503048 4.78199582324162 4.20667052287996 2.65961905090504 2.5916054862637e-05 0.00782290775089373
"RGS1" 4.59664714792216 5.48632078945547 6.0423668154138 4.59664714792216 4.20551657353591 2.65961905090504 2.60486498049277e-05 0.00782290775089373
"XYLB" 4.78199582324162 5.41218131932771 5.78287866996658 4.78199582324162 4.20495388474339 2.65961905090504 2.61135395233391e-05 0.00782290775089373
"SPSB4" 4.74492608817772 5.37511158426381 5.81994840503048 4.74492608817772 4.20383501603226 2.65961905090504 2.62430254011407e-05 0.00782290775089373
"RP11-776H12.1" 5.37511158426381 6.0794365504777 6.48720363618047 5.37511158426381 4.20092905317099 2.65706075251095 2.65821889615022e-05 0.00788252365655267
"TRIT1" 5.59752999464716 6.33892469592491 6.78376151669158 5.59752999464716 4.19733862015403 2.6534743332581 2.70069974546264e-05 0.00796678292622465
"METTL17" 4.67078661804992 5.37511158426381 5.78287866996658 4.67078661804992 4.18595562249101 2.64000722096258 2.83968829925439e-05 0.00829042607696755
"CROCCP3" 5.15269317388049 5.81994840503048 6.19064575566936 5.15269317388049 4.1836544133382 2.63972854553157 2.86860085455446e-05 0.00829724570698735
"IGF2BP3" 5.48632078945547 6.19064575566936 6.59841284137213 5.48632078945547 4.18343885600128 2.63972854553157 2.87132341991158e-05 0.00829724570698735
"DTX1" 4.70785635311382 5.33804184919991 5.74580893490269 4.70785635311382 4.18073069677514 2.63741436171992 2.9057383940615e-05 0.00835407163263225
"AC004540.5" 4.70785635311382 5.33804184919991 5.70873919983882 4.70785635311382 4.17866724332939 2.63605394220125 2.93222333495386e-05 0.00838763965884431
"IL33" 4.67078661804992 5.33804184919991 5.78287866996658 4.67078661804992 4.17676756959973 2.63500492697986 2.95680884808564e-05 0.00841360618721703
"TRUB1" 4.67078661804992 5.33804184919991 5.70873919983882 4.67078661804992 4.16985661305264 2.63212704305923 3.04791341498444e-05 0.00848521272289856
"VASH2" 4.67078661804992 5.30097211413605 5.74580893490269 4.67078661804992 4.16923609841862 2.63212704305923 3.05622266935857e-05 0.00848521272289856
"RP11-373N22.3" 4.67078661804992 5.30097211413605 5.70873919983882 4.67078661804992 4.16718835035205 2.63120603366811 3.0837968840206e-05 0.00850824380513241
"CCL4" 4.55957741285826 5.41218131932771 5.85701814009438 4.55957741285826 4.16639359235471 2.63120603366811 3.09456235011348e-05 0.00850824380513241
"LINC00299" 4.67078661804992 5.30097211413605 5.70873919983882 4.67078661804992 4.16445816194432 2.63079238193234 3.12092847482606e-05 0.00851860590261153
"MRVI1" 4.63371688298606 5.30097211413605 5.74580893490269 4.63371688298606 4.16391165219946 2.63079238193234 3.12841206918182e-05 0.00851860590261153
"SLC25A14" 4.63371688298606 5.30097211413605 5.67166946477492 4.63371688298606 4.15602703099536 2.6223005744353 3.23829527817066e-05 0.00873383656976335
"RP11-384F7.2" 4.63371688298606 5.26390237907215 5.67166946477492 4.63371688298606 4.15389825058274 2.62074635423393 3.26858562725099e-05 0.00877375131546171
"ZNF142" 4.63371688298606 5.26390237907215 5.67166946477492 4.63371688298606 4.15124976073386 2.61887475249931 3.30664673751706e-05 0.00882203316582581
"GRIN2D" 4.63371688298606 5.26390237907215 5.63459972971103 4.63371688298606 4.14971775620482 2.61887475249931 3.32885479143342e-05 0.00882203316582581
"SYCP2L" 4.63371688298606 5.26390237907215 5.70873919983882 4.63371688298606 4.14934903895338 2.61887475249931 3.33422085882253e-05 0.00882203316582581
"KBTBD12" 4.63371688298606 5.26390237907215 5.63459972971103 4.63371688298606 4.148344818878 2.61887475249931 3.34887730967291e-05 0.00882203316582581
"CRISPLD1" 4.59664714792216 5.22683264400825 5.70873919983882 4.59664714792216 4.14637590078019 2.61752475471135 3.37779119540743e-05 0.00885700637617993
"CA8" 5.04148396868883 5.70873919983882 6.15357602060546 5.04148396868883 4.14529000276765 2.6174835264805 3.39383907585739e-05 0.0088580763861019
"LINC00643" 4.59664714792216 5.22683264400825 5.67166946477492 4.59664714792216 4.13936039994119 2.61021808034199 3.48275453152304e-05 0.00904845188790837
"NRG1" 2.11297489864164 8.19241144911932 8.56310879975823 2.11297489864164 4.13627575161971 2.60832090181606 3.5298797812182e-05 0.00909876113781694
"TMX3" 5.81994840503048 6.59841284137213 6.89497072188324 5.81994840503048 4.13599179960575 2.60832090181606 3.5342481202015e-05 0.00909876113781694
"TACR1" 4.55957741285826 5.22683264400825 5.63459972971103 4.55957741285826 4.13487014554144 2.60820127280441 3.5515539725601e-05 0.009101941805333
"PAX6" 5.22683264400825 5.85701814009438 6.26478522579715 5.22683264400825 4.13140391901285 2.60523346127369 3.60554391868233e-05 0.0091811676969787
"FIG4" 5.67166946477492 6.33892469592491 6.67255231149993 5.67166946477492 4.12490486429636 2.5994929951383 3.70888032442067e-05 0.00933615839175727
"C6orf10" 4.5225076777944 5.18976290894439 5.63459972971103 4.5225076777944 4.12234981556586 2.5985734590367 3.7502711206343e-05 0.00936120131538809
"LPHN3" 1.03795258178888 2.11297489864164 3.4845550960055 1.03795258178888 4.12070743214067 2.5985734590367 3.77710822189023e-05 0.00936120131538809
"VIPAS39" 4.5225076777944 5.18976290894439 5.63459972971103 4.5225076777944 4.12067404368652 2.5985734590367 3.77765568670275e-05 0.00936120131538809
"STON2" 6.0794365504777 6.89497072188324 7.37687727771378 6.0794365504777 4.12023014473271 2.5985734590367 3.78494138427181e-05 0.00936120131538809
"ALDH1L1" 4.4854379427305 5.18976290894439 5.63459972971103 4.4854379427305 4.11476664746758 2.59192608380595 3.87571299169474e-05 0.00954402749667858
"CCSER1" 1.00088284672499 2.18711436876941 4.93027476349714 1.00088284672499 4.11171612516467 2.5888690294686 3.92728998755225e-05 0.00962917100930669
"UBR7" 4.5225076777944 5.15269317388049 5.56046025958327 4.5225076777944 4.10889580350226 2.58763123152547 3.97555383416808e-05 0.00966383768496186
"CNTN1" 1.22330125710832 2.48367224928052 4.89320502843328 1.22330125710832 4.10491633331701 2.58434555862621 4.04461237381307e-05 0.00975639887741112
"CXorf23" 5.89408787515824 6.59841284137213 6.93204045694714 5.89408787515824 4.10289180890626 2.58308610632962 4.08018076371984e-05 0.00979208805489679
"OLR1" 4.33715900247495 5.18976290894439 5.74580893490269 4.33715900247495 4.1012401724371 2.58208142566057 4.10941761112651e-05 0.00982064112485164
"NEFL" 5.04148396868883 5.70873919983882 6.1165062855416 5.04148396868883 4.09851835663227 2.57947474021027 4.15803266499001e-05 0.00989506949914726
"KIAA1586" 5.15269317388049 5.78287866996658 6.15357602060546 5.15269317388049 4.09474141435502 2.57528749550855 4.22639828348684e-05 0.0100156797481225
"FAM175B" 4.4854379427305 5.11562343881659 5.52339052451937 4.4854379427305 4.09295698873967 2.57516577943479 4.25906746395142e-05 0.0100192051823079
"CADM2" 1.11209205191665 2.44660251421663 4.04060112196383 1.11209205191665 4.09189369051108 2.57516577943479 4.27864803668639e-05 0.0100192051823079
"RHOBTB3" 4.44836820766661 5.15269317388049 5.52339052451937 4.44836820766661 4.09176868336813 2.57516577943479 4.28095563776705e-05 0.0100192051823079
"NPHP4" 5.37511158426381 6.1165062855416 6.45013390111657 5.37511158426381 4.08766418929899 2.57046841352573 4.35738273996527e-05 0.0101561087911997
"LRRC4C" 1.11209205191665 2.29832357396108 4.63371688298606 1.11209205191665 4.08407655360409 2.56683314567341 4.42524415339233e-05 0.0102631984472128
"AOAH" 4.37422873753884 5.11562343881659 5.59752999464716 4.37422873753884 4.08332586615832 2.56683314567341 4.43956993461479e-05 0.0102631984472128
"RP13-514E23.1" 4.44836820766661 5.0785537037527 5.44925105439161 4.44836820766661 4.07778185835757 2.56050749351097 4.54673945820963e-05 0.0104519409375545
"POLR3F" 4.44836820766661 5.04148396868883 5.48632078945547 4.44836820766661 4.07592317665915 2.56000379743969 4.58321495113022e-05 0.0104671019516981
"INHBA-AS1" 4.41129847260271 5.0785537037527 5.48632078945547 4.41129847260271 4.07320016430929 2.557335088472 4.63715381627898e-05 0.0105477557368036
"ZNF804A" 1.66813807787498 8.48896932963044 8.82259694520545 1.66813807787498 4.07062236711563 2.55487797054209 4.68877039849309e-05 0.0106225031131941
"SLC29A4" 5.11562343881659 5.74580893490269 6.1165062855416 5.11562343881659 4.06682548354567 2.55059316115039 4.76579053358714e-05 0.0107539778582195
"TAF1A" 4.37422873753884 5.04148396868883 5.52339052451937 4.37422873753884 4.06543161664312 2.54989535346782 4.79436508485292e-05 0.0107755257807897
