"Gene" "lb" "log.FC.mle" "ub" "ce" "Z" "cZ" "pvalue" "p.adjust"
"SLC1A2" 2.03883542851386 10.4907350230804 10.8243626386554 2.03883542851386 4.59852683685965 3.04333806093082 4.25488911792173e-06 0.00233969329961991
"NRCAM" 2.00176569344997 9.5639916464832 9.89761926205821 2.00176569344997 4.2275473244606 2.67419307147894 2.36252495232801e-05 0.00749093111865591
"PTPRZ1" 8.63724826988599 9.41571270622764 9.71227058673876 8.63724826988599 6.1012438804776 4.73227950877381 1.0524617874875e-09 2.22012410347603e-06
"TMEM108" 1.51985913761942 9.41571270622764 9.6010613815471 1.51985913761942 3.99411563319904 2.49863387590508 6.49361688789541e-05 0.0124673041795464
"CADPS" 1.40864993242776 9.26743376597209 9.5639916464832 1.40864993242776 3.6412404418894 2.3895798992417 0.000271327585644184 0.0168676544756304
"STMN2" 2.5578117194083 9.19329429584432 9.5639916464832 2.5578117194083 3.96371070382428 2.47983736895296 7.37936717752371e-05 0.0131442318842737
"SLC8A1" 1.63106834281109 9.15622456078043 9.48985217635544 1.63106834281109 3.59998844072222 2.38325653219553 0.000318231326898173 0.017160231401043
"NELL2" 3.00264854017496 9.11915482571653 9.48985217635544 3.00264854017496 5.64718362246267 4.22702285088028 1.63097602885264e-08 2.36803627407497e-05
"DCX" 7.89585356860821 9.11915482571653 9.48985217635544 7.89585356860821 5.32468469293463 3.85749697378347 1.01128303545897e-07 0.00011455409712465
"ATRNL1" 2.22418410383331 8.97087588546097 9.26743376597209 2.22418410383331 5.54356827938262 4.11841073116091 2.96369028776524e-08 3.81494296632836e-05
"SLC44A5" 1.29744072723609 8.93380615039711 9.15622456078043 1.29744072723609 4.26665907904616 2.69151632966947 1.98422023112655e-05 0.00711280161079403
"KCNMA1" 1.96469595838609 8.89673641533321 9.23036403090822 1.96469595838609 4.99496517068658 3.48999199198626 5.88463866574761e-07 0.000483035021377701
"KCND2" 1.37158019736387 8.89673641533321 9.19329429584432 1.37158019736387 4.02046768483479 2.51522640160997 5.80827166937951e-05 0.0118955966651531
"GDAP1" 1.22330125710832 8.85966668026931 9.11915482571653 1.22330125710832 3.78139918667528 2.41542875264898 0.000155949374759489 0.0157166969590438
"GALNT13" 1.18623152204443 8.82259694520545 9.15622456078043 1.18623152204443 2.94011347720802 1.98256198278877 0.00328092064017734 0.0474163774479112
"MEIS2" 7.89585356860821 8.78552721014155 9.11915482571653 7.89585356860821 5.05220350631115 3.54076361103793 4.3674199707704e-07 0.000398970858555633
"PCDH7" 1.66813807787498 8.78552721014155 9.08208509065267 1.66813807787498 3.73701105946847 2.40483908855029 0.000186220735889345 0.0161795881778641
"SOX11" 4.30008926741105 8.74845747507765 9.11915482571653 4.30008926741105 4.25580987390461 2.68959209169928 2.08293656739749e-05 0.0071539405022538
"MEG3" 2.59488145447219 8.63724826988599 8.97087588546097 2.59488145447219 3.27340851988633 2.25224994552431 0.00106258780066226 0.0243064813626452
"CHL1" 2.18711436876941 8.56310879975823 8.89673641533321 2.18711436876941 4.64355939101522 3.07776359806017 3.42457489010851e-06 0.002085602931462
