gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TOP2A,9.83550443052988E-12,7.96725600297901,0.308,0.044,1.81484727752137E-07
KNL1,2.36294553080583E-09,7.15705511184594,0.308,0.061,4.36010709344291E-05
GPX3,9.97497709687452E-12,6.68745322568849,0.269,0.029,1.84058277391529E-07
NDC80,1.38825856538756E-09,6.44203207056041,0.25,0.035,2.56161470485313E-05
CENPU,2.22514449822926E-12,6.40498119633413,0.346,0.055,4.10583662813263E-08
MKI67,3.06978925072254E-14,6.16785710712142,0.269,0.02,5.66437512543323E-10
GPR17,5.75391675649565E-11,6.00482102193676,0.269,0.032,1.06171271990858E-06
BIRC5,1.8913844615632E-10,5.99084652069077,0.269,0.038,3.48998260847642E-06
GALR1,1.41282698538261E-14,5.900121335027,0.308,0.029,2.606948353428E-10
RRM2,1.00058177778093E-12,5.8845437128925,0.269,0.026,1.84627349636137E-08
CRISPLD2,7.54556913302881E-18,5.88118934940004,0.538,0.102,1.39230841642648E-13
ASPM,1.37208472810216E-05,5.72650796913749,0.288,0.09,0.253177074029411
PCLAF,3.92305506045139E-07,5.54380107437518,0.308,0.084,0.007238821197545
LIMS2,3.79894577150977E-20,5.47101317459111,0.519,0.067,7.00981473758982E-16
BLM,4.66760183615617E-15,5.31957387149716,0.558,0.142,8.61265890807537E-11
BRIP1,0.000553091658458,5.30318581454882,0.269,0.113,1
APOLD1,2.26442100665675E-08,5.20807405403183,0.308,0.067,0.000417830964148
TM4SF1,6.62375709565926E-12,5.03235334313993,0.25,0.023,1.22221565929105E-07
SUSD5,2.81655619865717E-10,4.97044740528092,0.365,0.076,5.19710949776221E-06
PRRX1,4.00532709998046E-07,4.89554211193235,0.288,0.073,0.007390629564884
CENPF,3.64848198128742E-07,4.82493162911291,0.346,0.108,0.006732178951872
CENPN,6.11042314457666E-06,4.70708318251105,0.269,0.078,0.112749527863729
EMP1,3.31222627864291E-09,4.65618691672662,0.385,0.099,6.1117199293519E-05
MROH9,2.21819796748823E-18,4.62534029354634,0.288,0.012,4.09301888960927E-14
SGO2,0.000598622061546,4.5878587991085,0.269,0.11,1
PDGFRA,3.78510487854856E-16,4.56902771710321,0.577,0.137,6.9842755218978E-12
BGN,1.11853954702901E-12,4.51668674128906,0.365,0.055,2.06392917217792E-08
SMIM3,3.31489946740299E-10,4.47887551098058,0.269,0.038,6.11665249725199E-06
SPC24,7.59723373552735E-10,4.47179544398842,0.288,0.049,1.40184156887951E-05
NOTCH3,5.950196826934E-06,4.36054057247926,0.25,0.067,0.109793031850586
CALCRL,8.90648688977019E-17,4.33021806723106,0.423,0.055,1.64342496090039E-12
TCIM,5.40149664704065E-08,4.19321185397823,0.288,0.061,0.000996684161312
PLAT,1.12136537442521E-15,4.14569274745875,0.5,0.096,2.06914338888939E-11
PCDH15,5.74004770685787E-10,4.0852687116256,0.5,0.177,1.05915360286941E-05
TNC,4.15076838554923E-12,4.03966278674513,0.365,0.064,7.65899782501544E-08
SERTAD1,7.2628179877841E-07,4.00986771861064,0.404,0.145,0.013401351751059
COBLL1,0.005760173002847,3.99121591265659,0.25,0.122,1
FAM111A,1.46431232421514E-10,3.9891085623265,0.404,0.096,2.70194910064178E-06
TNR,9.41227503246363E-06,3.98326579287,0.654,0.477,0.173675298899019
ECT2,3.30158891787335E-09,3.94152508879319,0.365,0.087,6.09209187125991E-05
CENPK,1.72217872033836E-05,3.93946664943056,0.269,0.081,0.317776417476835
LRRK2,9.14856630273579E-09,3.91374381544404,0.519,0.212,0.000168809345418
LHFPL3,6.02043588543341E-13,3.85019400211906,0.481,0.11,1.11089082958017E-08
FRMD6,0.044227936716944,3.84695118598416,0.25,0.154,1
UHRF1,1.677261050749E-08,3.82759860359202,0.327,0.078,0.000309488209084
B3GNT7,9.26835356476806E-14,3.81624033178322,0.519,0.128,1.710196599771E-09
PODXL,0.000230663945968,3.75266664877965,0.365,0.16,1
NTNG1,0.000237540122921,3.68434158511598,0.269,0.096,1
DAB2,6.1238754440485E-07,3.68254792005943,0.327,0.093,0.011299774969358
COL9A1,4.15021874249071E-11,3.67723322689789,0.5,0.145,7.65798362364385E-07
CNTLN,8.14103930435373E-10,3.61126420276963,0.558,0.192,1.50218457243935E-05
CA10,2.30538981060421E-10,3.58126854536237,0.385,0.084,4.25390527852689E-06
SEMA5A,7.62996629578773E-11,3.58110495328209,0.635,0.279,1.40788138089875E-06
FANCD2,3.70092224706707E-07,3.57367910909367,0.481,0.203,0.006828941730288
SGO1,1.77636875941116E-14,3.57092113196067,0.288,0.023,3.27775563486547E-10
STX5,0.095527492132584,3.56197222523821,0.25,0.163,1
ETS1,1.28404165176505E-09,3.55758130210874,0.327,0.064,2.36931365583688E-05
TNFAIP3,2.14514438197773E-05,3.53619820193826,0.288,0.093,0.395822041362531
CLSPN,0.000516674209373,3.50911625372814,0.327,0.154,1
AC092821.1,1.44868092911457E-08,3.48182741077755,0.25,0.041,0.00026731060504
MEGF11,2.59408030645964E-09,3.45555795618639,0.481,0.151,4.78659698147934E-05
NEDD4,4.36290442933747E-10,3.45223933356034,0.442,0.11,8.0504312530135E-06
LIPG,2.76029627242726E-05,3.44750666789553,0.288,0.096,0.509329868188278
WEE1,1.06004462803181E-07,3.42857762022865,0.423,0.145,0.001955994347644
BX322234.1,0.000248829426779,3.42001464527417,0.269,0.099,1
BAMBI,1.06830339506236E-08,3.41662733195443,0.346,0.078,0.000197123342457
TFAP2C,9.82933890965524E-06,3.4006875983265,0.327,0.113,0.181370961560958
WSCD1,6.26868445090567E-06,3.38758905438295,0.308,0.096,0.115669765488111
SOX13,0.00237926000187,3.31370797358487,0.25,0.108,1
GNG11,2.64096398271021E-12,3.30002684244438,0.269,0.026,4.87310674089689E-08
ATAD2,4.77591910822914E-06,3.29765329893737,0.577,0.294,0.088125259385044
AFAP1L2,5.35910803301577E-11,3.20789990555807,0.558,0.174,9.88862614252069E-07
THBS2,6.99569784138027E-11,3.19961194817537,0.404,0.087,1.29084616569149E-06
CENPE,7.9826591301664E-05,3.19499032539693,0.308,0.113,1
MIS18BP1,4.30112982665941E-08,3.17506779284385,0.462,0.163,0.000793644475615
BRCA2,3.68749443720727E-07,3.15585391417321,0.327,0.09,0.006804164735535
CYR61,4.55117032210204E-09,3.13608275772651,0.423,0.119,8.39781947834268E-05
NET1,0.001259290378708,3.13445141453328,0.327,0.16,1
SOX6,3.96349264379992E-13,3.13060687610115,0.788,0.413,7.31343662633962E-09
LINC01965,4.62663328663877E-10,3.12849397840943,0.269,0.038,8.53706374050586E-06
TSPAN6,1.19534830059596E-07,3.1203284373004,0.519,0.195,0.00220565668426
CCND1,1.26434772026846E-07,3.11988064634628,0.346,0.09,0.002332974413439
SAMD4A,1.2742616055015E-09,3.11614663791832,0.769,0.392,2.35126751447136E-05
EMP2,0.00397229204453,3.10472142979725,0.365,0.227,1
THBS1,0.149153312558725,3.08853074965184,0.288,0.198,1
LAMC1,0.000207217416144,3.06942535274516,0.346,0.148,1
WWTR1,0.021214408023612,3.06798869984365,0.519,0.39,1
KNTC1,0.004133029357222,3.05835881559081,0.327,0.174,1
HELLS,3.61728672801083E-05,3.05006925842057,0.519,0.285,0.667461747052558
KLRC2,8.74645590373183E-11,3.02901656886678,0.288,0.041,1.6138960433566E-06
SPARC,3.56629454348059E-13,3.02224645348581,0.673,0.212,6.58052669163039E-09
RAD18,0.001430386338102,3.01029082292631,0.308,0.142,1
TAGLN2,1.18758992904159E-10,3.00943793952712,0.423,0.099,2.19134093706755E-06
POU6F2,0.11920473416109,2.99924518095612,0.25,0.174,1
DEPDC4,0.000439724251785,2.99151789786683,0.269,0.102,1
CTGF,1.77962434016851E-06,2.98618240346612,0.288,0.076,0.032837628324789
APOD,1.01624490499249E-07,2.9737631910619,0.577,0.259,0.001875175098692
ARL4A,2.31757890432701E-15,2.97317902046341,0.827,0.323,4.2763965942642E-11
IRF1,7.7474930707052E-07,2.97163815523246,0.596,0.299,0.014295674214065
CCDC173,1.89865036860217E-06,2.9436020437463,0.481,0.189,0.035033896601447
SOCS3,7.29693356563709E-06,2.91574890330827,0.25,0.067,0.134643018153136
EEF1B2P1,0.002116228194317,2.89709646371083,0.25,0.108,1
DIAPH3,3.35664236407572E-05,2.8959307475972,0.25,0.073,0.619367649019252
FRZB,1.31868486552086E-07,2.89452755628708,0.269,0.055,0.002433237313859
PTTG1,0.000294785170801,2.86855422721524,0.346,0.163,1
RDH10,0.000132546359959,2.85052078401032,0.269,0.09,1
DAB2IP,0.042012286712882,2.84849659789601,0.288,0.18,1
ANGPT2,0.040945148481901,2.84837272723274,0.269,0.163,1
LINC00643,0.000974224605199,2.84273523610746,0.385,0.201,1
TIMP1,8.13413649009262E-09,2.84205699898423,0.365,0.087,0.000150091086515
ADAMTS1,8.05350639809732E-06,2.83613160656824,0.462,0.203,0.148603300057692
