"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CCL3L1",1.20755516641469e-30,9.86400493364191,0.706,0.034,2.22818079306839e-26
"ITGAX",2.90017106052838e-44,9.55549228447802,1,0.05,5.35139564088697e-40
"C3",2.37356599801713e-28,9.53378170295806,1,0.116,4.37970397954121e-24
"CLEC7A",2.34605374496744e-34,9.21458691203135,0.882,0.055,4.32893837021391e-30
"CCL4",4.94293235424637e-27,9.13190156376422,0.882,0.082,9.1206987800554e-23
"CX3CR1",9.5896420238382e-42,9.02561423352438,0.706,0.016,1.76948074623862e-37
"CCL3",1.91661140502415e-39,8.99656491471548,0.882,0.04,3.53653136455057e-35
"OLR1",4.13435211510771e-43,8.9647047799664,0.941,0.042,7.62870652279674e-39
"RGS1",4.71349674184164e-38,8.63173279001642,0.882,0.045,8.6973441880462e-34
"CCL4L2",9.56995120954449e-34,8.60429045095332,0.765,0.034,1.76584739718515e-29
"CD53",2.60572063365787e-40,8.54984988009057,0.824,0.032,4.8080757132255e-36
"DHRS9",4.98339572831353e-40,8.47713089703023,0.765,0.024,9.19536179788413e-36
"C1QB",1.55485144710903e-48,8.3872765616277,0.765,0.013,2.86901189020559e-44
"MSR1",6.18589804731678e-27,8.32629536230002,0.882,0.084,1.14142190769089e-22
"CD74",2.36760990221613e-30,8.31785417084075,1,0.1,4.36871379156921e-26
"MS4A7",1.35296604006904e-42,8.28800564115665,0.882,0.034,2.4964929371354e-38
"BCL2A1",7.62538828737019e-30,8.13229880755539,0.647,0.026,1.40703664678555e-25
"SCIN",7.33936822112998e-23,8.10987413320089,0.706,0.058,1.3542602241629e-18
"P2RY12",2.15047100173548e-38,8.08593088761848,1,0.066,3.9680490924023e-34
"CD86",1.30280266338432e-48,8.08334840805625,0.824,0.018,2.40393147447675e-44
